# Created by Octave 4.2.2, Tue Nov 12 21:02:47 2019 CET <oem@lucamachine>
# name: coord
# type: matrix
# rows: 441
# columns: 2
 0 0
 0.1 0
 0.2 0
 0.3 0
 0.4 0
 0.5 0
 0.6000000000000001 0
 0.7000000000000001 0
 0.8 0
 0.9 0
 1 0
 0 0.2
 0.1 0.2
 0.2 0.2
 0.3 0.2
 0.4 0.2
 0.5 0.2
 0.6000000000000001 0.2
 0.7000000000000001 0.2
 0.8 0.2
 0.9 0.2
 1 0.2
 0 0.4
 0.1 0.4
 0.2 0.4
 0.3 0.4
 0.4 0.4
 0.5 0.4
 0.6000000000000001 0.4
 0.7000000000000001 0.4
 0.8 0.4
 0.9 0.4
 1 0.4
 0 0.6000000000000001
 0.1 0.6000000000000001
 0.2 0.6000000000000001
 0.3 0.6000000000000001
 0.4 0.6000000000000001
 0.5 0.6000000000000001
 0.6000000000000001 0.6000000000000001
 0.7000000000000001 0.6000000000000001
 0.8 0.6000000000000001
 0.9 0.6000000000000001
 1 0.6000000000000001
 0 0.8
 0.1 0.8
 0.2 0.8
 0.3 0.8
 0.4 0.8
 0.5 0.8
 0.6000000000000001 0.8
 0.7000000000000001 0.8
 0.8 0.8
 0.9 0.8
 1 0.8
 0 1
 0.1 1
 0.2 1
 0.3 1
 0.4 1
 0.5 1
 0.6000000000000001 1
 0.7000000000000001 1
 0.8 1
 0.9 1
 1 1
 0 1.2
 0.1 1.2
 0.2 1.2
 0.3 1.2
 0.4 1.2
 0.5 1.2
 0.6000000000000001 1.2
 0.7000000000000001 1.2
 0.8 1.2
 0.9 1.2
 1 1.2
 0 1.4
 0.1 1.4
 0.2 1.4
 0.3 1.4
 0.4 1.4
 0.5 1.4
 0.6000000000000001 1.4
 0.7000000000000001 1.4
 0.8 1.4
 0.9 1.4
 1 1.4
 0 1.6
 0.1 1.6
 0.2 1.6
 0.3 1.6
 0.4 1.6
 0.5 1.6
 0.6000000000000001 1.6
 0.7000000000000001 1.6
 0.8 1.6
 0.9 1.6
 1 1.6
 0 1.8
 0.1 1.8
 0.2 1.8
 0.3 1.8
 0.4 1.8
 0.5 1.8
 0.6000000000000001 1.8
 0.7000000000000001 1.8
 0.8 1.8
 0.9 1.8
 1 1.8
 0 2
 0.1 2
 0.2 2
 0.3 2
 0.4 2
 0.5 2
 0.6000000000000001 2
 0.7000000000000001 2
 0.8 2
 0.9 2
 1 2
 0.05 0
 0.15 0
 0.25 0
 0.35 0
 0.45 0
 0.55 0
 0.6500000000000001 0
 0.7500000000000001 0
 0.8500000000000001 0
 0.9500000000000001 0
 0.05 0.2
 0.15 0.2
 0.25 0.2
 0.35 0.2
 0.45 0.2
 0.55 0.2
 0.6500000000000001 0.2
 0.7500000000000001 0.2
 0.8500000000000001 0.2
 0.9500000000000001 0.2
 0.05 0.4
 0.15 0.4
 0.25 0.4
